Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,"On November 7, all 100 seats in the Virginia House of Delegates and all 40 seats in the Virginia Senate will be up for election. Do you plan to vote in the November general election?",How do you plan to vote in the general election?,"If the November 7 general election for the Virginia General Assembly were held today, which Party’s candidate would you most likely support?",Do you approve or disapprove of Governor Glenn Youngkin’s job performance?,Do you approve or disapprove of President Joe Biden’s job performance?,"Microschools, sometimes referred to as learning pods, is the reimagining of the one-room schoolhouse, where class sizes are usually fewer than 15 students of varying ages, and the schedule and curriculum are tailored to fit each individual class. Would you support or oppose micro-schools in your area?","School choice allows parents to use tax dollars designated for their child’s education to send their child to the public, private, or micro-school that they believe is best for their child. Do you support or oppose school choice?","Do you believe parents should have access to as many quality school options, such as public, private, charter, and hybrid-school models, for their child?","Recently, schools have been accused of excluding parents from their child’s education. Do you agree that parents should have a significant influence on their children’s education, or should they defer to teachers and administrators?","According to a 2014 study, a school choice program centered on tax credits found that students who didn’t utilize the choice options and remained in public schools suffered no adverse effects, and evidence suggests these students actually benefited from this program. Does knowing this make you more or less likely to support school choice?","Property taxes determine the bulk of local school district funding, meaning that areas with lower property values receive less local funding for their schools than more affluent districts. Knowing that a child’s residence determines the public school they are assigned to, are you more or less likely to support school choice?","According to a study, school choice improves residential home values. Does knowing this make you more or less likely to support school choice?",Statewide studies have shown that increased school choice options have positively affected test scores in reading and math. Does knowing this make you more or less likely to support school choice?,Are you more or less likely to support your state delegate or state senator if they voted for school choice?,"Education Savings Accounts are taxpayer funds allocated for a student’s education and can be used for any education-related expenses – including online homeschool programs, private school tuition, tutoring, and school supplies. Do you support or oppose Education Savings Accounts?",School voucher programs assist low-income families by allowing for public education funds to pay for a child’s tuition at a school of their choice. Do you support school voucher programs?,"Intra-district school choice allows families to choose any school in their district, whereas inter-district school choice allows families to choose from any school in a defined region or statewide. Would you support either of these options?","Do you personally identify with this statement: “I used to have doubts about school choice, but I am more open to the idea of creating an option for kids who are struggling.”",Do you think Virginia has enough school choice options for families working to educate their children?,Do you agree or disagree with the following statement: “School choice is a partisan issue.”,"Virginia Republicans have proposed a plan that would allow for abortions until 15 weeks of pregnancy. After 15 weeks, abortions would still be allowed in cases of rape, incest, and the life of the mother. Do you support this plan?",Do you support building a casino in Richmond?,What ideology is most in line with your views?,What is the highest level of education you have completed so far?,What is your age?,Are you male or female?,What is your Race?,What Party do you most align with?,Completion Code
1,10/7/23 11:47,10/7/23 11:47,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=99999,1696697252_65218ba484d7e1.78205985,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Mobile/15E148 Safari/604.1",,71.91.246.198,-90.53009796,38.64379883,United States,Town And Country,MO,63017,Unsure,Undecided,,Disapprove,,,,Unsure,,,,,,,,,,,,,,,,,,,,Other,99999
2,10/7/23 13:11,10/7/23 13:11,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=wvak,1696701796_65219d64dd6ac0.31602675,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1",,73.250.253.217,-77.26609802,38.63259888,United States,Woodbridge,VA,22191,Yes,Vote early in person,Democrat,Disapprove,Disapprove,Unsure,Oppose,No,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Unsure,No,Unsure,No,Unsure,Unsure,Oppose,Yes,Liberal,Graduate degree or higher,35 – 44,Female,Hispanic,Other,wvak
3,10/7/23 13:08,10/7/23 13:08,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=zssd,1696701939_65219df33607e6.95679096,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,174.206.104.41,-76.5114975,37.11000061,United States,Newport News,VA,23602,Yes,Vote on Election Day,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,More likely,Makes no difference,More likely,Makes no difference,More likely,Support,Yes,"Yes, I just support intra-district school choice",No,"No, families should have more choices",Unsure,Oppose,No,Conservative,College,35 – 44,Female,White,Republican,zssd
4,10/7/23 13:09,10/7/23 13:09,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=ngwl,1696701856_65219da050e3b4.10606413,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,74.110.201.201,-77.39499664,37.46120071,United States,Henrico,VA,23228,Yes,Vote early in person,Democrat,,,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,More likely,More likely,More likely,More likely,Support,Yes,"Yes, I support both",No,"No, families should have more choices",Disagree,Support,No,Moderate,Graduate degree or higher,55 – 64,Female,White,Democrat,ngwl
5,10/8/23 8:04,10/8/23 8:04,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=vglf,1696702005_65219e35b2e3f1.47946499,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,74.110.146.103,-77.46019745,37.55369949,United States,Richmond,VA,23220,Yes,Vote early in person,Republican,Approve,Disapprove,Unsure,Support,Yes,Parents should have a significant influence,Makes no difference,Makes no difference,Makes no difference,More likely,More likely,Support,Yes,Unsure,Yes,Unsure,Agree,Support,Unsure,Moderate,Graduate degree or higher,35 – 44,Male,Other,Independent,vglf
6,10/7/23 13:10,10/7/23 13:10,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=vlwi,1696702048_65219e60b13e21.51242645,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,71.115.15.226,-77.41750336,37.33919907,United States,Chester,VA,23831,Yes,Vote early in person,Republican,Approve,Disapprove,Unsure,Unsure,Unsure,Parents should defer to teachers and administrators,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Makes no difference,Support,Yes,Unsure,Yes,"No, families should have more choices",Disagree,Oppose,No,Moderate,Graduate degree or higher,55 – 64,Male,White,Independent,vlwi
7,10/8/23 11:16,10/8/23 11:16,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=qxbj,1696702058_65219e6ae4fdb8.89712056,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 DuckDuckGo/7 Safari/605.1.15",,173.53.92.172,-77.43090057,37.62390137,United States,Richmond,VA,23227,Yes,Vote early by mail,,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,More likely,More likely,More likely,More likely,More likely,Support,Yes,"Yes, I just support inter-district school choice",Yes,"Yes, there are enough choices already",Agree,Support,Yes,Moderate,,65 or older,Female,White,Republican,qxbj
8,10/7/23 13:13,10/7/23 13:13,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=zqfa,1696701917_65219dddda5700.50298964,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-A326U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",,184.62.193.244,-97.8219986,37.75099945,United States,,,,Yes,Vote early in person,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,More likely,More likely,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Disagree,,No,Conservative,Graduate degree or higher,65 or older,Male,White,Republican,zqfa
9,10/7/23 13:14,10/7/23 13:14,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=utyk,1696702184_65219ee890b281.36666794,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1",,104.28.79.173,-97.8219986,37.75099945,United States,,,,Yes,Vote on Election Day,Democrat,Disapprove,Approve,Support,Support,Yes,Parents should defer to teachers and administrators,Makes no difference,Less likely,Makes no difference,More likely,Makes no difference,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Unsure,Oppose,Yes,Liberal,College,18 – 34,Female,White,Democrat,utyk
10,10/7/23 13:14,10/7/23 13:14,Complete,,,,English,http://a.publicstream.org/s3/f8v?a=vynt,1696702304_65219f60234d04.08578429,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,174.196.133.229,-77.32810211,38.84759903,United States,Fairfax,VA,22030,Yes,Vote early in person,Republican,Approve,Disapprove,Support,Support,Yes,Parents should have a significant influence,More likely,Makes no difference,More likely,More likely,More likely,Support,Yes,"Yes, I support both",Yes,"No, families should have more choices",Disagree,Support,Yes,Conservative,Graduate degree or higher,55 – 64,Male,White,Republican,vynt
